LINE 227 : 2021-04-20 14:52:36,454 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'STIXSizeFourSym' (STIXSizeFourSym-Regular.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Lobster Two' (lobster.otf) italic normal 700 normal>) = 11.05
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'P052' (P052-Bold.otf) normal normal 700 normal>) = 10.05
LINE 1337: 2021-04-20 14:52:42,407 [DEBUG   ] findfont: score(<Font 'Tlwg Typewriter' (TlwgTypewriter-BoldOblique.otf) oblique normal 700 normal>) = 11.05
LINE 1337: 2021-04-20 14:52:42,408 [DEBUG   ] findfont: score(<Font 'Comfortaa' (Comfortaa-Light.ttf) normal normal 300 normal>) = 10.43
LINE 1337: 2021-04-20 14:52:42,408 [DEBUG   ] findfont: score(<Font 'Lohit Tamil Classical' (Lohit-Tamil-Classical.ttf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,408 [DEBUG   ] findfont: score(<Font 'GFS Olga' (GFSOlga.otf) normal normal 400 normal>) = 10.335
LINE 1337: 2021-04-20 14:52:42,408 [DEBUG   ] findfont: score(<Font 'Suruma' (Suruma.ttf) normal normal 500 normal>) = 10.24
LINE 1337: 2021-04-20 14:52:42,408 [DEBUG   ] findfont: score(<Font 'KacstDecorative' (KacstDecorative.ttf) normal normal 500 normal>) = 10.24
LINE 1337: 2021-04-20 14:52:42,408 [DEBUG   ] findfont: score(<Font 'TeX Gyre Heros Cn' (texgyreheroscn-bold.otf) normal normal 700 normal>) = 10.05
